"","State","Item","Metric","Value","CV (%)"
"1","CALIFORNIA"," ORGANIC - ACRES HARVESTED",NA,"4,228","45.7"
"2","CALIFORNIA"," ORGANIC - SALES"," MEASURED IN $","311,784,980","46.0"
"3","CALIFORNIA"," ORGANIC - SALES"," MEASURED IN CWT","1,412,627","51.7"
"4","CALIFORNIA"," FRESH MARKET - SALES"," MEASURED IN $","(D)","(D)"
"5","CALIFORNIA"," FRESH MARKET - SALES"," MEASURED IN CWT","1,401,384","50.6"
"6","CALIFORNIA"," PROCESSING - OPERATIONS WITH SALES",NA,"7","60.0"
"7","CALIFORNIA"," PROCESSING - SALES"," MEASURED IN $","(D)","(D)"
"8","CALIFORNIA"," PROCESSING - SALES"," MEASURED IN CWT","11,244","(H)"
"9","FLORIDA"," ORGANIC - ACRES HARVESTED",NA,"704","99.8"
"10","FLORIDA"," ORGANIC - SALES"," MEASURED IN $","18,358,396","(H)"
"11","FLORIDA"," ORGANIC - SALES"," MEASURED IN CWT","67,146","(H)"
"12","FLORIDA"," FRESH MARKET - SALES"," MEASURED IN $","18,358,396","(H)"
"13","FLORIDA"," FRESH MARKET - SALES"," MEASURED IN CWT","67,146","(H)"
