"","Year","State","State ANSI","Commodity","Fruit","Category","Item","Metric","Domain","Domain Category","Value","CV (%)"
"1",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - GAIN"," MEASURED IN $","NET GAIN","NET GAIN: (1,000 TO 4,999 $)","6,312,000","9.2"
"2",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - GAIN"," MEASURED IN $","NET GAIN","NET GAIN: (10,000 TO 24,999 $)","55,328,000","8.0"
"3",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - GAIN"," MEASURED IN $","NET GAIN","NET GAIN: (25,000 TO 49,999 $)","100,618,000","4.9"
"4",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - GAIN"," MEASURED IN $","NET GAIN","NET GAIN: (5,000 TO 9,999 $)","13,709,000","13.8"
"5",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - GAIN"," MEASURED IN $","NET GAIN","NET GAIN: (50,000 OR MORE $)","15,979,024,000","4.7"
"6",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - GAIN"," MEASURED IN $","NET GAIN","NET GAIN: (LESS THAN 1,000 $)","361,000","15.7"
"7",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - GAIN"," MEASURED IN $","TOTAL","NOT SPECIFIED","16,155,353,000","4.7"
"8",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - LOSS"," MEASURED IN $","NET LOSS","NET LOSS: (1,000 TO 4,999 $)","14,782,000","11.1"
"9",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - LOSS"," MEASURED IN $","NET LOSS","NET LOSS: (10,000 TO 24,999 $)","178,143,000","10.7"
"10",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - LOSS"," MEASURED IN $","NET LOSS","NET LOSS: (25,000 TO 49,999 $)","226,112,000","9.4"
"11",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - LOSS"," MEASURED IN $","NET LOSS","NET LOSS: (5,000 TO 9,999 $)","42,326,000","11.8"
"12",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - LOSS"," MEASURED IN $","NET LOSS","NET LOSS: (50,000 OR MORE $)","3,589,297,000","10.6"
"13",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - LOSS"," MEASURED IN $","NET LOSS","NET LOSS: (LESS THAN 1,000 $)","474,000","10.4"
"14",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - LOSS"," MEASURED IN $","TOTAL","NOT SPECIFIED","4,051,134,000","10.0"
"15",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","1,927,889,000","14.5"
"16",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","-33,586,000","(H)"
"17",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","376,405,000","77.8"
"18",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","223,317,000","26.9"
"19",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","285,520,000","28.1"
"20",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","282,080,000","14.2"
"21",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","5,147,340,000","8.2"
"22",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","129,012,000","20.6"
"23",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","1,355,260,000","11.6"
"24",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","150,061,000","60.8"
"25",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","2,007,260,000","18.2"
"26",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","253,660,000","48.7"
"27",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (1,000 TO 2,499 $)","-65,060,000","-30.8"
"28",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (1,000,000 OR MORE $)","12,628,069,000","6.2"
"29",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (10,000 TO 24,999 $)","-106,536,000","-27.8"
"30",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (100,000 TO 249,999 $)","-68,448,000","-71.9"
"31",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (2,500 TO 4,999 $)","-81,917,000","-22.7"
"32",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (25,000 TO 49,999 $)","-114,019,000","-26.8"
"33",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (250,000 TO 499,999 $)","195,437,000","72.0"
"34",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (5,000 TO 9,999 $)","-104,287,000","-18.8"
"35",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (50,000 TO 99,999 $)","-33,686,000","(H)"
"36",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (500,000 TO 999,999 $)","248,883,000","77.8"
"37",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (LESS THAN 1,000 $)","-394,217,000","-12.2"
"38",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (1,000 TO 2,499 $)","-61,357,000","-36.6"
"39",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (1,000,000 OR MORE $)","12,620,172,000","6.2"
"40",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (10,000 TO 24,999 $)","-101,630,000","-29.6"
"41",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (100,000 TO 249,999 $)","-54,427,000","-92.1"
"42",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (2,500 TO 4,999 $)","-81,200,000","-22.6"
"43",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (25,000 TO 49,999 $)","-113,783,000","-25.0"
"44",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (250,000 TO 499,999 $)","210,990,000","69.1"
"45",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (5,000 TO 9,999 $)","-92,174,000","-15.9"
"46",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (50,000 TO 99,999 $)","-31,354,000","(H)"
"47",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (500,000 TO 999,999 $)","230,302,000","81.5"
"48",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (LESS THAN 1,000 $)","-421,320,000","-10.6"
"49",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1111)","370,330,000","52.5"
"50",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1112)","3,050,538,000","14.5"
"51",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1113)","3,918,351,000","18.8"
"52",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1114)","773,639,000","56.4"
"53",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1119)","753,277,000","27.6"
"54",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (11192)","65,455,000","19.8"
"55",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (11193 & 11194 & 11199)","687,822,000","30.1"
"56",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (112111)","127,298,000","29.3"
"57",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (112112)","185,907,000","2.3"
"58",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (11212)","2,622,937,000","2.7"
"59",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1122)","539,000","(H)"
"60",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1123)","440,665,000","11.4"
"61",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1124)","-24,247,000","-58.2"
"62",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1125 & 1129)","-115,016,000","-37.5"
"63",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF OPERATIONS - NET INCOME"," MEASURED IN $","TOTAL","NOT SPECIFIED","12,104,219,000","7.1"
"64",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - LOSS"," MEASURED IN $","NET LOSS","NET LOSS: (1,000 TO 4,999 $)","14,792,000","11.2"
