"","Year","State","Fruit","Category","Item","Meas Type","Metric","Domain","Type","Name","Code","Value"
"1",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," PRICE RECEIVED",NA," MEASURED IN $ / CWT","TOTAL",NA,NA,NA,"121"
"2",2023,"CALIFORNIA","STRAWBERRIES","FRESH MARKET "," PRICE RECEIVED",NA," MEASURED IN $ / CWT","TOTAL",NA,NA,NA,"(D)"
"3",2023,"CALIFORNIA","STRAWBERRIES","PROCESSING "," PRICE RECEIVED",NA," MEASURED IN $ / CWT","TOTAL",NA,NA,NA,"(D)"
"4",2023,"FLORIDA","STRAWBERRIES","STRAWBERRIES "," PRICE RECEIVED",NA," MEASURED IN $ / CWT","TOTAL",NA,NA,NA,"147"
"5",2023,"FLORIDA","STRAWBERRIES","FRESH MARKET "," PRICE RECEIVED",NA," MEASURED IN $ / CWT","TOTAL",NA,NA,NA,"(D)"
"6",2023,"FLORIDA","STRAWBERRIES","PROCESSING "," PRICE RECEIVED",NA," MEASURED IN $ / CWT","TOTAL",NA,NA,NA,"(D)"
"7",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," ACRES HARVESTED",NA,NA,"TOTAL",NA,NA,NA,"42,700"
"8",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","OXATHIAPIPROLIN ","128111","(D)"
"9",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","CYCLANILIPROLE ","26202","(D)"
"10",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","PERMETHRIN ","109701","(D)"
"11",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901 ","115003","(NA)"
